Order ID,Order Date,Delivery date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,,,,
CA-2017-127180,2017-22-10,2017-24-10,First Class,TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,10024,East,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,11199.968,4,0.2,3919.9888,East,330694.626,,SUM
CA-2017-166709,2017-17-11,2017-22-11,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Newark,Delaware,19711,East,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10499.97,3,0,5039.9856,Central,246314.5152,,COUNT
CA-2016-117121,2016-17-12,2016-21-12,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,13,0,4946.37,South,190409.226,,MIN
US-2016-107440,2016-16-04,2016-20-04,Standard Class,BS-11365,Bill Shonely,Corporate,United States,Lakewood,New Jersey,8701,East,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0,2365.9818,West,332443.7055,,MAX
CA-2016-158841,02-02-2016,02-04-2016,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,22204,South,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",8749.95,5,0,2799.984,,,,AVG
CA-2016-143714,2016-23-05,2016-27-05,Standard Class,CC-12370,Christopher Conant,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.976,4,0.4,1119.9968,,,,
US-2017-168116,11-04-2017,11-04-2017,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217,South,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,4,0.5,-3839.9904,,,,
CA-2014-145541,2014-14-12,2014-21-12,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,United States,New York City,New York,10024,East,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,4,0,2239.9872,,,,
CA-2017-138289,2017-16-01,2017-18-01,Second Class,AR-10540,Andy Reiter,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96,4,0,2504.2216,East,Home Office,,
CA-2014-144624,2014-19-11,2014-23-11,Standard Class,JM-15865,John Murray,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,Apple iPhone 5,4548.81,7,0,1228.1787,Central,Corporate,,
CA-2016-100300,2016-24-06,2016-26-06,Second Class,MJ-17740,Max Jones,Consumer,United States,San Diego,California,92037,West,Technology,Machines,Okidata MB760 Printer,4476.8,4,0.2,503.64,South,Consumer,,
CA-2017-118892,2017-17-08,2017-22-08,Second Class,TP-21415,Tom Prescott,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,9,0.3,-630.882,West,,,
CA-2015-117086,11-08-2015,11-12-2015,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Burlington,Vermont,5408,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9,5,0,1013.127,,,,
CA-2017-129021,2017-23-08,2017-26-08,Second Class,PO-18850,Patrick O'Brill,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,Samsung Galaxy Mega 6.3,4367.896,13,0.2,327.5922,,,,
CA-2015-116638,2015-28-01,2015-31-01,Second Class,JH-15985,Joseph Holt,Consumer,United States,Concord,North Carolina,28027,South,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,13,0.4,-1862.3124,East,Home Office,,
